,id,keyword,location,text,target,text_cleaned
1513,1513,bomb,,"BREAKING: Bomb in Van of NJ Kosher Market Terror Suspects Could’ve Killed People 5 Football Fields Away, Officials Say - h…",1,breaking bomb van nj kosher market terror suspects couldve killed people football fields away officials say
1514,1514,bomb,Polska 🇵🇱,"hyejoo’s teaser hit 100k likes on ig, is about to hit 50k on twt and has 4.6m views and counting on her cherry bomb video.…",0,hyejoos teaser hit k likes ig hit k twt views counting cherry bomb
1515,1515,bomb,"St Louis, MO",Arrest made in 2 separate bomb threats in O’Fallon MO https://t.co/Ng39nxkDme https://t.co/PswzP5BPQj,0,arrest made separate bomb threats ofallon mo
1516,1516,bomb,,"This is ALOTT jongdae husband And dad, Yoonterlude aka Shadow is a Masterpiece it's legit one of my favourite bts… https://t.co/IroORvj3eQ",0,alott jongdae husband dad yoonterlude aka shadow masterpiece legit one favourite
1517,1517,bomb,,"Bomb in Van of NJ Shooting Attack Suspects Could’ve Killed People 5 Football Fields Away, Officials Said https://t.co/IL…",1,bomb van nj shooting attack suspects couldve killed people football fields away officials said
1518,1518,bomb,Doesn'tLikeRankingOT7ForReal,bangtan bomb subtitles making their debut before seokjin’s acting debut,0,bangtan bomb subtitles making debut seokjins acting debut
1519,1519,bomb,India,• Bring kinds in protests • Put them in front as human shield. • Attack security personals with petrol bomb &amp; stone. • When…,0,* bring kinds protests * put front human shield * attack security personals petrol bomb amp stone *
1520,1520,bomb,,[BANGTAN BOMB] How much ice cream did Jung Kook eat? - BTS (방탄소년단) https://t.co/7lL704YUUj น่ารักเก่งงงง กินเก่งงง 555…,0,bangtan bomb much ice cream jung kook eat bts bangtansonyeondan naarakekngngngng kinekngngng
1521,1521,bomb,Gaborone,"Lmao if this was real, I’d have to bomb Cartoon Network 😭😂 Theres no way I’m letting them ruin this like they ruined Teen…",0,lmao real id bomb cartoon network theres way im letting ruin like ruined
1522,1522,bombed,,"Anyone else see the irony in SFIRA, who abstain from Westminster yet still take a wage; who bombed the UK and damaged ou…",0,anyone else see irony sfira abstain westminster yet still take wage bombed uk damaged
1523,1523,bombed,City Of Angels,NATO 'Bombed' Libya's Statehood - Russian Foreign Minister Lavrov: https://t.co/k7ozUwN7sy via,0,nato bombed libyas statehood russian foreign minister lavrov via
1524,1524,bombed,"Oahu, Hawaii",This bombed on IG and I have ONE follower on here but hi here’s some graphic liner (I messed up and just kept going ok bye…,0,bombed ig one follower hi heres graphic liner messed kept going ok
1525,1525,bombed,,"Among the far-left American terrorist groups that flourished from the ’60s through the ’80s, none were more extreme or v…",0,among farleft american terrorist groups flourished none extreme
1526,1526,bombed,"Scandinavia ... Freedom of speech, expression and religion is valued here - deal with it, when it hurts your feelings!","BREAKING: Soleimani's killing marked the culmination of US unlawful activity, Washington went beyond all legal frameworks -…",0,breaking soleimanis killing marked culmination us unlawful activity washington went beyond legal frameworks
1527,1527,bombed,Texas,"They’re comparing it to the energy output of atomic bombs, they’re not actually saying that the ocean… https://t.co/Cm5BDBB0ZI",0,theyre comparing energy output atomic bombs theyre actually saying
1528,1528,bombed,,"But we can take it further: this exact outcome has been attempted before, by an ally of the US against an ally of Iran. Prec…",0,take exact outcome attempted ally us ally iran
1529,1529,bombed,,BREAKING: NATO 'bombed' Libya's statehood - Russian Foreign Minister Lavrov https://t.co/x4wtIR3MSM https://t.co/kH2…,0,breaking nato bombed libyas statehood russian foreign minister lavrov
1530,1530,bombed,"Larkhall, Scotland","Definitely says ""bombed"" now you have a name or can we all go around saying we'll bomb x or y cos we disagre…",0,definitely says bombed name go around saying well bomb x cos
1531,1531,bombed,,---------- Oct 2033 ---------- United States of America has bombed Kiribati 84 Countries left 🇺🇸 United States of… https://t.co/z8UbW8MujQ,1,oct united states america bombed kiribati countries left united states
1532,1532,bombed,Kosovo,"So according to Serb Minister, supporting war crime general is Ok, but waving a green MNE flag is wrong. People, do you see…",0,according serb minister supporting war crime general ok waving green mne flag wrong people
1533,1533,bombed,,"Hadaba Military College Cadets Drone Bombed by LNA in Tripoli, Libya https://t.co/ycJD6DNSdt",1,hadaba military college cadets drone bombed lna tripoli libya
1534,1534,bombed,,"The US, which has bombed or destabilized Afghanistan, Iraq, Somalia, Yemen, Libya, Syria, Lebanon, Venezuela, Ukraine, Boliv…",1,us bombed destabilized afghanistan iraq somalia yemen libya syria lebanon venezuela ukraine
1535,1535,bombed,Hong Kong,"On the way to the Khalsa Diwan Sikh Temple in Wanchai District, a listed building constructed in 1901 which survive… https://t.co/bPCTSvvKMD",0,way khalsa diwan sikh temple wanchai district listed building constructed
1536,1536,bombed,"California, USA","Today in 1957, four black churches held Sunday service under unique circumstances. Just days earlier, the Montgomery,…",0,today four black churches held sunday service unique circumstances days earlier
1537,1537,bombed,,"Hadaba Military College Cadets Drone Bombed by LNA in Tripoli, Libya",1,hadaba military college cadets drone bombed lna tripoli libya
1538,1538,bombed,"Terranora, Australia",“For all u liberals that say Trump started a war—he bombed a guy that killed 1000’s of innocent Americans. If u think it…,1,u liberals say trump started war bombed guy killed innocent americans u think
1539,1539,bombed,"Fresno, CA",So I did a thing. I streamed for the first time. Bombed. But hey. Practice makes perfect!,0,thing streamed first time bombed hey practice makes perfect
1540,1540,bombed,"Hamilton, Scotland",I’ve yet to see condemnation from of these banners and video of the organiser of thi…,0,ive yet see condemnation banners video organiser
1541,1541,bombed,Los Angeles,Let’s get this straight. US military bases in Iraq are bombed by Iran. What’s Trump’s response? To illegally divert…,1,lets get straight us military bases iraq bombed iran whats trumps response illegally
1542,1542,bombed,,Wait until Iran get bombed to the ground. God bless Trump.,1,wait iran get bombed ground god bless trump
1543,1543,bombed,,I’ve yet to see condemnation from of these banners and video of the organis… https://t.co/KHowQU4RUN,0,ive yet see condemnation banners video
1544,1544,bombed,,Nor was the remain alliance which fortunately bombed. So did the Labour vote. You don't mention… https://t.co/hkoFCBYQFm,0,remain alliance fortunately bombed labour vote dont
1545,1545,bombed,,Lakini hapo Omamo has been put in to make sure we don't get bombed and finish those contract negotiations. All in… https://t.co/gksWiMfjse,0,lakini hapo omamo put make sure dont get bombed finish contract negotiations
1546,1546,bombed,,This was today. In idlib. This father stands in despair as he looks at his daughter who was torn in half by Russian airstrikes…,0,today idlib father stands despair looks daughter torn half russian
1547,1547,bombed,The Internet,"""Donato-bombed""",0,donatobombed
1548,1548,bombed,"Orange, California","Trump a dangerous, irresponsible narcissist who bombed Soleimani to distract from impeachment, Canadian CEO says https://t…",1,trump dangerous irresponsible narcissist bombed soleimani distract impeachment canadian ceo says
1549,1549,bombed,,"CNN - US troops describe terror of Iran missile attack! ""I held on to my gun and put my head down and I t…",0,cnn us troops describe terror iran missile attack held gun put head
1550,1550,bombed,,---------- Sep 2033 ---------- United States of America has bombed Netherlands 85 Countries left 🇺🇸 United State… https://t.co/gAAYQmRUK7,0,sep united states america bombed netherlands countries left united
1551,1551,bombed,Virginia,Bruh it just randomly thundered out of knowwhere and that shit was LOUD AF ! Felt it in my chest and I for real tho… https://t.co/QvYh1l1V4x,0,bruh randomly thundered knowwhere shit loud af felt chest real
1552,1552,bombed,"Uganda, Nigeria",Imagine you get a phone call from the Israeli army telling you to evacuate your home because it will be bombed in ten minu…,0,imagine get phone call israeli army telling evacuate home bombed ten
1553,1553,bombed,India,ROFL I told you .. you wouldn't understand... tell me what are the credentials of… https://t.co/kgH6IsFdyp,0,rofl told wouldnt understand tell credentials
1554,1554,bombed,,Another film nominated for Best Documentary feature #ForSama about the harrowing realities of the Syrian conflict — hospita…,0,another film nominated best documentary feature forsama harrowing realities syrian conflict
1555,1555,bombed,Pawnee Nation,A REMINDER: RCMP bombed oil site in 'dirty tricks' campaign https://t.co/19Rq6IdGyo,0,reminder rcmp bombed oil site dirty tricks campaign
1556,1556,bombed,,I fucked kids because it bombed Jim.,0,fucked kids bombed jim
1557,1557,bombed,,"Lavrov : The Libyan statehood was bombed by NATO in 2011, Libyans are still facing the con… https://t.co/lNgQ4oxhVY",1,lavrov libyan statehood bombed nato libyans still facing
1558,1558,bombed,"California, USA","""Nothing is over until we decide it is! Was it over when the Germans bombed Pearl Harbor? Hell, no!"" https://t.co/X5v1rDKXyY",0,nothing decide germans bombed pearl harbor hell
1559,1559,bombed,,Who bombed the exhibit at the sea 😂 😂 😂 Maraga,0,bombed exhibit sea maraga
1560,1560,bombed,,"Whenever #ShahidKapoor got injured during the shooting of the film, the film became super flop. And it has happened for 5-…",0,whenever shahidkapoor got injured shooting film film became super flop happened
1561,1561,bombed,,Excellent panel putting in historical/regional/global context #Iran #Iraq...#UAE #Yemen #Israel &amp; of course #S…,0,excellent panel putting historicalregionalglobal context iran iraquae yemen israel amp course
1562,1562,bombed,种花家,The hacking benefited its rival company Huawei so… https://t.co/YYLJYZujUb,0,hacking benefited rival company huawei
1563,1563,bombed,,The place where these children once called home is no more after being bombed by #Assad and #Putin. We are so lucky they are…,0,place children called home bombed assad putin lucky
1564,1564,bombed,"Louisiana, USA",I don't recall loving Hannity as he did his damnedest—speaking on-air and directly to any Iranian government officials or…,0,dont recall loving hannity damnedest speaking onair directly iranian government officials
1565,1565,bombed,,---------- Aug 2033 ---------- United States of America has bombed Ecuador 86 Countries left 🇺🇸 United States of… https://t.co/NsVhzZY4aU,0,aug united states america bombed ecuador countries left united states
1566,1566,bombed,England,So tell these two families and the people at the mosques that were bombed that Muslims are the… https://t.co/Fm1JPrZMLN,0,tell two families people mosques bombed muslims
1567,1567,bombed,"St. Helens, England",On a battlefield tour a couple of years ago I met a gent who had been badly wounded when his ship was b… https://t.co/yhNZgF1c3T,0,battlefield tour couple years ago met gent badly wounded ship
1568,1568,bombed,Occupied Palestine #ترشيحا,Only a despot who is friendly with the US and Israel will get this kind of obituary in the New York Times. This is a de…,0,despot friendly us israel get kind obituary new york times
1569,1569,bombed,"Belfast, Northern Ireland","Anyone else see the irony in SFIRA, who abstain from Westminster yet still take a wage; who bombed the UK and damag… https://t.co/HEEAEURUCm",0,anyone else see irony sfira abstain westminster yet still take wage bombed uk
1570,1570,bombed,Liverpool,Join us on 14thTuesday January 6pm for Justice 4 Grenfell on steps of Bombed out church Liverpool… https://t.co/DSiDY6aQ8z,0,join us thtuesday january pm justice grenfell steps bombed church
1571,1571,bombed,,Which had more of an impact and which got review bombed?,0,impact got review bombed
1572,1572,bombed,,"Lavrov : The Libyan statehood was bombed by NATO in 2011, Libyans are still facing the c… https://t.co/oHKnF1E25P",1,lavrov libyan statehood bombed nato libyans still facing
1573,1573,bombed,"Zimbabwe, Midlands",She bodied you. This is her selfie and you bombed it https://t.co/SLEDK88gCc,0,bodied selfie bombed
1574,1574,bombed,colonized Lenape land (nyc),it’s not though. not for palestinians living on the ground in an apartheid s… https://t.co/dnrDR294G1,0,though palestinians living ground apartheid
1575,1575,bombed,,"Lavrov : The Libyan statehood was bombed by NATO in 2011, Libyans are still facing the consequences of the illeg…",1,lavrov libyan statehood bombed nato libyans still facing consequences
1576,1576,bombed,,NATO...Bombed...Libya...Statehood...Russia...Foreign...Minister...Lavrov...confirm...Libyan...National...Army...LNA… https://t.co/Ow64MGzocH,0,natobombedlibyastatehoodrussiaforeignministerlavrovconfirmlibyannationalarmylna ...
1577,1577,bombed,,Your Neo-McCarthyism toward person fighting Empire + corporatism will live in inf… https://t.co/AcyrVugUpg,0,neomccarthyism toward person fighting empire corporatism live
1578,1578,bombed,,"So threats are OK? Sturgeon tells lies, I hate her, but I'm not going to start a witch hunt to… https://t.co/Q8wFilS34Z",0,threats ok sturgeon tells lies hate im going start witch hunt
1579,1579,bombing,One It Forever 🦋,this should work or else m bombing cj enm fr 😴,0,work else bombing cj enm fr
1580,1580,bombing,"Meanwhile, Scotland","retweet 👇 ...to fix a problem, deal with the root of the problem Marine Le Pen: ""Macron tells us that we are fighting terr…",0,retweet fix problem deal root problem marine le pen macron tells us fighting
1581,1581,bombing,"Essendon, Melbourne, Australia",What I keep wondering. Would these bushfires have been so severe and unputoutable if we'd had more water bombing aircraft…,0,keep wondering would bushfires severe unputoutable wed water bombing
1582,1582,bombing,,"Nasrallah: ""America built ISIS to destroy our countries, our cultures, history, and our future. Every ISIS bombing again…",0,nasrallah america built isis destroy countries cultures history future every isis bombing
1583,1583,bombing,,That the continues to publicly ingratiate itself to countries *directly* responsible for killing and starving Yemenis i…,0,continues publicly ingratiate countries directly responsible killing starving yemenis
1584,1584,bombing,France,"retweet 👇 ...to fix a problem, deal with the root of the problem Marine Le Pen: ""Macron tells us that we are fight… https://t.co/Z5Ra2zfY3H",0,retweet fix problem deal root problem marine le pen macron tells us
1585,1585,bombing,miami,30% of Republican primary voters nationally say they support bombing Agrabah. Agrabah is the country from Aladdin. #NotTheOni…,0,republican primary voters nationally say support bombing agrabah agrabah country aladdin
1586,1586,bombing,,How is Iran the real villain? Wasn’t it Saudi Arabia found to be responsible for the massacre in Yemen an… https://t.co/XUNofPBsMd,0,iran real villain wasnt saudi arabia found responsible massacre yemen
1587,1587,bombing,,Actually Boris. Iranian people are sick and tired of their bloodthirsty corrupt evil g… https://t.co/dDprkvHtks,0,actually boris iranian people sick tired bloodthirsty corrupt evil
1588,1588,bombing,"Blagnac, France",has ‘unleashed’ the UK economy with #Brexit UK production and manufacturing is dropping like a WWII… https://t.co/qXVMuX2cgs,0,unleashed uk economy brexit uk production manufacturing dropping like
1589,1589,bombing,倭国のド田舎  むぎわら一見とくまモンが居る所,"50% of Syrians made homeless by war, living in a tent, so as not to die under the bombing... https://t.co/FsmZoUhjyZ",0,syrians made homeless war living tent die bombing
1590,1590,bombing,,We the American people #Donotconsent to the daily bombing of our atmosphere! Blocking our sun sending too much toxic rai…,0,american people donotconsent daily bombing atmosphere blocking sun sending much toxic
1591,1591,bombing,Earth,This is the same Trump who promised to commit war crimes by bombing their cu… https://t.co/k2CC0DS5Ow,0,trump promised commit war crimes bombing
1592,1592,bombing,Around the world,"#Yemen Article/Video April 1, 2019 The US backed Saudi Coalition have been bombing and starving civilian in Yemen to f…",0,yemen articlevideo april us backed saudi coalition bombing starving civilian yemen
1593,1593,bombing,,"Really? The US planned a war on Syria! Of course,. Then Putin &amp; Assad… https://t.co/GrbxNEAkXP",0,really us planned war syria course putin amp
1594,1594,bombing,"Limousin Area, France",has ‘unleashed’ the UK economy with #Brexit UK production and manufacturing is dropping like a WWII… https://t.co/4SefxevGZr,0,unleashed uk economy brexit uk production manufacturing dropping like
1595,1595,bombing,"Ngarabal land, Australia","I'm no expert, Anna. But seems to me we might've had a better chance w/ water bombing aircraft than a… https://t.co/lM1hCBaTWR",0,im expert anna seems mightve better chance w water bombing aircraft
1596,1596,bombing,,"Wait so a Saudi killed Americans on American soil, and they focused on bombing Iran’s leader?",0,wait saudi killed americans american soil focused bombing irans leader
1597,1597,bombing,,FLASHBACK- OLYMPIC PARK BOMBING- RICHARD JEWELL: “THE FBI SET ME UP” The FBI and media launched an attack calculated to p…,0,flashback olympic park bombing richard jewell fbi set fbi media launched attack calculated
1598,1598,bombing,,"#Yemen Article/Video April 1, 2019 The US backed Saudi Coalition have been bombing and starving civilian in Yemen to force t…",1,yemen articlevideo april us backed saudi coalition bombing starving civilian yemen force
1599,1599,bombing,,"50 dead at the silly, performative funeral for the victims of the US bombing. A passenger jet shot down with 180 on board…",0,dead silly performative funeral victims us bombing passenger jet shot
1600,1600,bombing,,Bombing drives is awesome...bombing drives in the woods? Not so much. With a driver shaft that's been SST PUREd you'll hit it…,0,bombing drives awesomebombing drives woods much driver shaft thats sst pured youll hit
1601,1601,bombing,Belgrade,"https://t.co/PPqaOwCEqB Libyan National Army commander Khalifa Haftar left Moscow without signing a ceasefire, Lavr… https://t.co/t4vCMzIqTX",0,httpstcoppqaowceqb libyan national army commander khalifa haftar left moscow without signing ceasefire
1602,1602,bombing,,If this bombing were affected by their family am sure there will be an emergency of world leaders meeting. #Government #united Nation,0,bombing affected family sure emergency world leaders meeting government united nation
1603,1603,bombing,,Government need to do something about this killing and bombing around the world.... https://t.co/vDiKQG6l3R,0,government need something killing bombing around world
1604,1604,bombing,,Sweden’s bombing wave continues with explosions in Stockholm and Uppsala https://t.co/xjQpRif5I1,1,swedens bombing wave continues explosions stockholm uppsala
1605,1605,bombing,Australia,Last night in Sweden 🇸🇪 2 BOMBINGS. - There was a massive explosion in Stockholm that caused extensive damage to apartm…,1,last night sweden bombings massive explosion stockholm caused extensive damage
1606,1606,bombing,,"1. Being in the area of an active shooter, bombing or any kind of terror 2. Receiving news that a family memb…",1,area active shooter bombing kind terror receiving news family
1607,1607,bombing,,"By bombing, it means loss. Do you forsee a loss for Chapaak? Pls do calculate and tell me on Monday.",0,bombing means loss forsee loss chapaak pls calculate tell monday
1608,1608,bombing,UK,"I was recently interviewed by Porous Borders, a podcast about experimental music. I talked about upcoming projects, Jogja vs Lo…",0,recently interviewed porous borders podcast experimental music talked upcoming projects jogja vs
1609,1609,bombing,Proud Northumbrian.,"On the *first* day of his leadership, Justin Trudeau blamed the Boston Marathon bombing on “social exclusion.” Then it was…",0,first day leadership justin trudeau blamed boston marathon bombing social exclusion
1610,1610,bombing,honeymoon avé.,so bombing is happening ?????,0,bombing happening
1611,1611,bombing,Some glacier called Maine,"1. Being in the area of an active shooter, bombing or any kind of terror 2. Receiving news that a fami… https://t.co/Q5hXZsQYfm",0,area active shooter bombing kind terror receiving news
1612,1612,bombing,"Bangkok, Thailand","On January 14, 2016 at 10:30 WIB, the first bomb blasted the Starbucks outlet at the area’s Cakrawala Building https://…",0,january wib first bomb blasted starbucks outlet areas cakrawala building
1613,1613,bombing,Bigfoots Bluff,Do these images disturb you?? They should . The bombing was planned!!! By who or whom?? The pictures on the left an…,0,images disturb bombing planned pictures left
1614,1614,bombing,,The winter in Gaza has a special character .. !!! There are many poor people in Gaza living in homes partially destroyed…,0,winter gaza special character many poor people gaza living homes partially
1615,1615,bombing,"Dallas, TX",I agree. Chief Justice Robert appears to try and distance himself when ever he can. I know the GO… https://t.co/XPkgdcRKgl,0,agree chief justice robert appears try distance ever know
1616,1616,bombing,"Baltimore, MD",So when a terrorists is meeting others about bombing a more bases he sh… https://t.co/2T49Gto2av,0,terrorists meeting others bombing bases
1617,1617,bombing,Australia,Most brainless report today - US invaders and occupiers in Iraq whining that pple they have been bombing and killin… https://t.co/MgL0FotZYa,1,brainless report today us invaders occupiers iraq whining pple bombing
1618,1618,bombing,Afghanistan,"The picture is from 2001, after fall of Taliban. They destroyed it by bombing during their regime in Afg b… https://t.co/hnnq4OGscG",0,picture fall taliban destroyed bombing regime afg
1619,1619,bombing,,Please tell me more about this American bombing of Tehran no one has ever heard of until now,0,please tell american bombing tehran one ever heard
1620,1620,bombing,United States of Africa,"#Yemen Article/Video April 1, 2019 The US backed Saudi Coalition have been bombing and starving civilian in Yemen… https://t.co/0ST5oTz2cI",1,yemen articlevideo april us backed saudi coalition bombing starving civilian
1621,1621,bombing,,My history teacher in England used to ask me to account to the class whenever there was an IRA bombing in t…,0,history teacher england used ask account class whenever ira bombing
1622,1622,bombing,abuja,"Someone started sponsoring BH, like it or not.But no sitting president would raze any part o… https://t.co/ADVSQkTIfM",0,someone started sponsoring bh like notbut sitting president would raze part
1623,1623,bombing,,Revert back to a previous argument. Mass Shooti… https://t.co/TpF3zr8n5b,0,revert back previous argument mass
1624,1624,bombing,"Los Angeles, CA",A comic at this open mic who didn’t move when I said “excuse me” to her three times is coincidentally BOMBING,0,comic open mic didnt move said excuse three times coincidentally bombing
1625,1625,bombing,"Jakarta, Indonesia","On January 14, 2016 at 10:30 WIB, the first bomb blasted the Starbucks outlet at the area’s Cakrawala Building https://t.co/NGkwlTccXz",0,january wib first bomb blasted starbucks outlet areas cakrawala building
1626,1626,bombing,"Houston, TX",You think bombing and assassinating people is freedom?,0,think bombing assassinating people freedom
1627,1627,bombing,"Belfast, North of Ireland ",Are you acussing sinn fein of bombing England &amp; robbing the Northern Bank ? Maybe s… https://t.co/BM3X9rFUh4,0,acussing sinn fein bombing england amp robbing northern bank maybe
1628,1628,bombing,,And isn’t it a strange coincidence that the people who support… https://t.co/lxCXpccpRp,0,isnt strange coincidence people
1629,1629,bombing,"Muzaffarnagar, Uttar Pradesh",#pt: Opposition photojournalist seen reacting to #Rashideen bombing (L) then rescuing injured children (R) fr…,0,pt opposition photojournalist seen reacting rashideen bombing l rescuing injured children r
1630,1630,bombing,"Australia-wide city, rural",Ah. So you think a heavier water bombing onslaught would not have saved Kangaroo Island?,0,ah think heavier water bombing onslaught would saved kangaroo island
1631,1631,bombing,بيروت,"75 buses and 20 ambulances of refugees, mostly children and women, were leaving Fou’ah and Kafriya after a two-year besiegeme…",0,buses ambulances refugees mostly children women leaving fouah kafriya twoyear
1632,1632,bombing,,A nomination from the man who spoke so passionately about bombing Syria is telling about the politics of Starmer and Rayner,0,nomination man spoke passionately bombing syria telling politics starmer rayner
1633,1633,bombing,,UN soldier experiences NATO style bombing run. Freaks the fuck out. https://t.co/jtK6l5eO7O,0,un soldier experiences nato style bombing run freaks fuck
1634,1634,bombing,,Ah. So you think a heavier water bombing onslaught would not have saved Kangaroo Island?,0,ah think heavier water bombing onslaught would saved kangaroo island
1635,1635,bombing,Australia,"The second brother ""oibada"" killed in 2016 by Assad bombing on #Daraa city, and now ther mother are alone without any of he…",0,second brother oibada killed assad bombing daraa city ther mother alone without
1636,1636,bombing,Near Taylor Swift’s Residence,The Soviets scared the Japanese more than the atomic bombs “there would be destruction whether by on… https://t.co/x1tKLFEo61,0,soviets scared japanese atomic bombs would destruction whether
1637,1637,bombing,Australia,"""resilience and adaption"" ... like how he adapted when he met with the fire chiefs ..like when he ok… https://t.co/pzg315JzG0",0,resilience adaption like adapted met fire chiefs like
1638,1638,bombing,,"When American politicians speak about foreign policies, hostilities are mostly genuine. Peace overtures are dubious… https://t.co/VCLcsG9sfk",0,american politicians speak foreign policies hostilities mostly genuine peace overtures
1639,1639,bombing,"Brunswick, Melbourne",I was gonna pick that. Juanita is my favourite track. 👐 Barbara Barbar… https://t.co/cMkzqepHPh,0,gonna pick juanita favourite track barbara
1640,1640,bombing,,"This #DavinderSingh story is the whackiest in a long time, it shakes the foundations of so much in this country. An ide…",0,davindersingh story whackiest long time shakes foundations much country
1641,1641,bombing,,On #US #Iran &amp; their pernicious proxy wars-⁩:why is talking less possible than bombing? #TalkItOut -see… https://t.co/afbUsheOV4,0,us iran amp pernicious proxy warswhy talking less possible bombing talkitout
1642,1642,bombing,Other Side Of Whatever This Wa,I was wondering where on the timeline this group of lesbians violently not having s… https://t.co/I0KIxVBDB8,0,wondering timeline group lesbians violently
1643,1643,bombing,India,after bjp came to power.. no bombings.. aap chronology samjho buddhu .. firse congress power me… https://t.co/EMlxSiASMC,0,bjp came power bombings aap chronology samjho buddhu firse congress power
1644,1644,bombing,mumbai,"This #DavinderSingh story is the whackiest in a long time, it shakes the foundations of so much in this country.… https://t.co/xJTXzcwvNm",0,davindersingh story whackiest long time shakes foundations much
1645,1645,bombing,Calgary,the right are trying to trick their followers into believing the left's opposition to the Iran invasion is based on suppo…,0,right trying trick followers believing lefts opposition iran invasion based
1646,1646,bombing,"Cape Town, South Africa",Ke sure ne a dira makgakga. Why is he even photo-bombing us?!?,0,ke sure ne dira makgakga even photobombing us
1647,1647,bridge%20collapse,,"London Bridge is falling down, no need to Panic? The Finance Minister is controlling the collapse remotely!! It will no…",0,london bridge falling need panic finance minister controlling collapse remotely
1648,1648,bridge%20collapse,Chicago-Los Angeles-New York,"Collapse of Route 14, Coamo, Puerto Rico - Hanging Bridge https://t.co/QlD2J0KFtw",0,collapse route coamo puerto rico hanging bridge
1649,1649,bridge%20collapse,pattaya,And this is the fourth road/bridge collapse in a span of 6 weeks. Just saying.,1,fourth roadbridge collapse span weeks saying
1650,1650,bridge%20collapse,,And this is the fourth road/bridge collapse in a span of 6 weeks. Just saying.,1,fourth roadbridge collapse span weeks saying
1651,1651,bridge%20collapse,"Los Angeles, CA",Sorry but our whole system needs a reset. There’s way to much corruption across the board. Trump is a… https://t.co/CFLZMHpb6j,0,sorry whole system needs reset theres way much corruption across board trump
1652,1652,bridge%20collapse,,"London Bridge is falling down, no need to Panic? The Finance Minister is controlling the collapse remotely!! It w… https://t.co/c2ao8qAvCH",0,london bridge falling need panic finance minister controlling collapse remotely
1653,1653,bridge%20collapse,,"in Maharashtra, at Bambhori (Jalgaon dist) on NH6, the bridge on River Girna, n…",0,maharashtra bambhori jalgaon dist nh bridge river girna
1654,1654,bridge%20collapse,"Portland, OR","Major fail!! A driver up in Washington caused a section of bridge to collapse a few years ago, just… https://t.co/6imIVzrESu",0,major fail driver washington caused section bridge collapse years ago
1655,1655,bridge%20collapse,Connecticut,That is factually correct. Last tolls in CT 1989. Mianus River bridge collapse 1983.,0,factually correct last tolls ct mianus river bridge collapse
1656,1656,bridge%20collapse,"Connecticut, USA","Pointing to the Mianus Bridge collapse to support tolls is not only despicable but nonsensical. We had tolls, yet the brid…",0,pointing mianus bridge collapse support tolls despicable nonsensical tolls yet
1657,1657,bridge%20collapse,GL15 6SA,"Temporary Path Closure - Brockweir to Bigsweir Bridge, Riverside Route, due to works on riverside bank collapse, please…",0,temporary path closure brockweir bigsweir bridge riverside route due works riverside bank collapse
1658,1658,bridge%20collapse,Wyre Forest UK,"Err, what’s the bridge made of cus’ I didn’t hear any material being mentioned? A bridge without subs… https://t.co/Z18kgEhK6P",0,err whats bridge made cus didnt hear material mentioned bridge without
1659,1659,bridge%20collapse,"Connecticut, USA","Pointing to the Mianus Bridge collapse to support tolls is not only despicable but nonsensical. We had tolls, yet t… https://t.co/ndU6OAfZiZ",0,pointing mianus bridge collapse support tolls despicable nonsensical tolls yet
1660,1660,bridge%20collapse,,Hurricane Harvey: Silsbee Tx Flooded at Hwy 96 - Day before the Bridge Collapse https://t.co/wjLM9rbQl6,0,hurricane harvey silsbee tx flooded hwy day bridge collapse
1661,1661,bridge%20collapse,,Still remember BJP disowning for her Comments on Mumbai foot overbridge collapse…,0,still remember bjp disowning comments mumbai foot overbridge
1662,1662,bridge%20collapse,,"Dont forget my friend. When there is crisis in India, RSS always comes for help. Bridge collapse, floods…",0,dont forget friend crisis india rss always comes help bridge collapse
1663,1663,bridge%20collapse,,"Terriosts, War, Riots,Child stuck in bore well, Bridge collapse, Disaster management : Call the Ar…",0,terriosts war riotschild stuck bore well bridge collapse disaster management call
1664,1664,bridge%20collapse,,Q / [ CEMEX] + [ EPSTEIN] + ADRENOCHROME/ HOW to hide the evidence/ think [ Hemoglobin] / quick search U.S. pat…,0,q cemex epstein adrenochrome hide evidence think hemoglobin quick search us
1665,1665,bridge%20collapse,JAPAN IS WHERE MY HEART IS,Q / [ CEMEX] + [ EPSTEIN] + ADRENOCHROME/ HOW to hide the evidence/ think [ Hemoglobin] / quick search… https://t.co/SoR8yss6rf,0,q cemex epstein adrenochrome hide evidence think hemoglobin quick
1666,1666,bridge%20collapse,,Ha ha they all shitting there selfs thinking the bridge is going to collapse right underneath ther… https://t.co/o1FilWMm2B,0,ha ha shitting selfs thinking bridge going collapse right underneath
1667,1667,bridge%20collapse,Edinburgh,"Yeah, we have loads of cops to stand around to monitor this for half a day for the…",0,yeah loads cops stand around monitor half day
1668,1668,bridge%20collapse,Edinburgh,"If an HGV, wrongly using this bridge causes it to collapse any diversion will be for a great deal longer than…",0,hgv wrongly using bridge causes collapse diversion great deal longer
1669,1669,bridge%20collapse,"Toronto, Ontario",Hopefully this bridge doesn't collapse while I'm crossing https://t.co/v4pHcykhYm,0,hopefully bridge doesnt collapse im crossing
1670,1670,bridge%20collapse,Inverleith Edinburgh,"If an HGV, wrongly using this bridge causes it to collapse any diversion will be for a great deal longer… https://t.co/HYYqjceqSU",0,hgv wrongly using bridge causes collapse diversion great deal
